DateTime (converted),Excel DateTime,comp1.Air.T (oC),comp1.Air.RH (%),comp1.Air.ppm (ppm),common.Iglob.Value (W/m2),common.Tout.Value (oC),common.RHout.Value (%),common.Windsp.Value (m/s),comp1.PARsensor.Above (umol/m2/s),comp1.TPipe1.Value (oC),comp1.ConPipes.TSupPipe1 (oC),comp1.PConPipe1.Value (W/m2),comp1.ConWin.WinLee (%),comp1.ConWin.WinWnd (%),comp1.Setpoints.SpHeat (oC),comp1.Setpoints.SpVent (oC),comp1.Scr1.Pos (0-1),comp1.Scr2.Pos (0-1),comp1.Lmp1.ElecUse (W/m2),comp1.McPureAir.Value (kg/m2/s),comp1.Setpoints.SpCO2 (ppm),comp1.Growth.FruitFreshweight (gram plant-1),comp1.Growth.DVSfruit (0-1),comp1.Growth.DryMatterFract (0-1),comp1.Growth.CropAbs (0-1),comp1.Growth.PlantDensity (plants m-2),common.ElecPrice.PeakHour (bool)
09/05/2023 01:00,45174.041667,14.3,79.8,549.0,0.0,16.8,86.4,0.8,0.0,18.349318276207864,17.8,0.0,88.1,54.1,0.0,4.0,0.831,0.739,0.0,1.9444444444444444e-06,745.0,0.0,0.0,0.0,0.0,20.0,0.0
09/05/2023 01:59,45174.083333,13.46,88.9,522.0,0.0,16.4,87.3,1.3,0.0,15.715760740662821,15.3,0.0,100.0,76.4,0.0,4.0,0.9,0.8,0.0,0.0,332.0,0.0,0.0,0.0,0.0,20.0,0.0
09/05/2023 03:00,45174.125,13.26,93.6,428.0,0.0,16.3,86.9,2.0,0.0,14.107066444540498,13.9,0.0,100.0,70.7,0.0,4.0,0.9,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.0,20.0,0.0
09/05/2023 04:00,45174.166667,13.31,93.7,420.0,0.0,16.1,86.7,1.9,0.0,13.116716655160024,13.0,0.0,100.0,69.1,0.0,4.0,0.9,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.0,20.0,0.0
09/05/2023 04:59,45174.208333,12.8,92.8,420.0,0.0,15.4,88.9,0.6,0.0,12.432039177324933,12.3,0.0,100.0,57.9,0.0,4.0,0.9,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.0,20.0,0.0
09/05/2023 06:00,45174.25,11.86,91.8,420.0,6.0,15.0,90.0,0.1,6.0,11.822464516600574,11.7,0.0,92.3,42.3,0.0,4.0,0.6,0.6,0.0,3.472222222222223e-08,335.0,0.0,0.0,0.0,0.0,20.0,0.0
09/05/2023 07:00,45174.291667,11.34,92.5,689.0,55.0,15.7,87.1,0.3,75.0,11.492469251963591,11.5,0.0,97.1,51.1,0.0,4.0,0.0,0.0,0.0,2.6041666666666666e-06,737.0,0.0,0.0,0.0,0.0,20.0,0.08333333333333333
09/05/2023 07:59,45174.333333,13.62,91.9,896.0,182.0,17.2,80.3,1.0,247.0,12.606598950538773,13.0,0.0,100.0,83.2,0.9,4.9,0.0,0.0,0.0,4.097222222222223e-06,1000.0,0.0,0.0,0.0,0.0,20.0,1.0
09/05/2023 09:00,45174.375,17.59,80.1,597.0,335.0,19.0,72.4,2.4,449.0,16.059762061762147,16.9,0.0,100.0,100.0,1.9,5.9,0.0,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.0,20.0,1.0
09/05/2023 10:00,45174.416667,20.39,73.5,618.0,481.0,21.0,66.2,3.3,500.0,20.73648721879668,21.6,0.0,100.0,100.0,2.0,6.0,0.5,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.0,20.0,1.0
09/05/2023 10:59,45174.458333,23.14,71.3,868.0,599.0,22.9,61.8,2.8,580.0,24.944699598389406,25.8,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.0,20.0,1.0
09/05/2023 12:00,45174.5,26.12,68.0,890.0,679.0,24.3,57.9,2.9,696.0,29.632852849975517,30.5,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.012,20.0,1.0
09/05/2023 13:00,45174.541667,28.58,64.1,845.0,712.0,25.8,53.9,3.2,753.0,34.15404064725504,34.9,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 13:59,45174.583333,30.79,50.3,804.0,695.0,27.0,50.2,3.6,732.0,37.80145770226868,38.4,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 15:00,45174.625,32.49,44.1,789.0,630.0,27.9,47.5,3.7,633.0,40.1342901926055,40.4,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 16:00,45174.666667,32.69,43.0,774.0,524.0,28.3,46.0,4.0,504.0,40.78692069062299,40.8,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 16:59,45174.708333,30.6,44.2,586.0,388.0,28.5,46.1,4.5,514.0,40.164855026269564,40.0,0.0,100.0,100.0,2.0,6.0,0.125,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 18:00,45174.75,29.08,47.9,510.0,233.0,28.2,49.1,4.1,335.0,38.238311169979745,37.7,0.0,100.0,100.0,1.5,5.5,0.0,0.0,7.716,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 19:00,45174.791667,27.79,52.7,529.0,91.0,27.1,54.3,3.3,117.0,34.90852908722097,34.2,0.0,100.0,100.0,0.3,4.3,0.0,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 19:59,45174.833333,25.77,58.9,615.0,12.0,25.4,60.2,1.8,15.0,31.026877042709227,30.3,0.0,100.0,100.0,0.0,4.0,0.0,0.133,0.0,4.166666666666668e-06,903.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 21:00,45174.875,23.96,67.9,827.0,0.0,23.7,66.5,0.4,0.0,27.638036610572286,27.1,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,6.944444444444446e-07,450.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 22:00,45174.916667,22.83,73.0,634.0,0.0,22.3,72.4,0.0,0.0,25.29096199574806,24.9,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,1.0
09/05/2023 22:59,45174.958333,21.56,77.3,525.0,0.0,21.2,76.4,0.0,0.0,23.47766130976221,23.2,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,1.0
09/06/2023 00:00,45175.0,20.47,81.1,473.0,0.0,20.6,77.6,0.1,0.0,21.9812337568144,21.7,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 01:00,45175.041667,19.4,84.7,448.0,0.0,20.4,76.3,0.5,0.0,20.724857020726457,20.5,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 01:59,45175.083333,18.56,87.2,436.0,0.0,19.7,77.4,0.1,0.0,19.651779619543788,19.5,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 03:00,45175.125,17.83,89.0,430.0,0.0,18.9,80.7,0.0,0.0,18.718639201593437,18.6,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 04:00,45175.166667,17.23,90.3,426.0,0.0,18.4,83.2,0.0,0.0,17.91576105763857,17.8,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 04:59,45175.208333,16.67,89.0,423.0,0.0,17.9,85.6,0.0,0.0,17.234192962807352,17.1,0.0,100.0,100.0,0.0,4.0,0.6,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 06:00,45175.25,16.27,88.9,421.0,5.0,17.4,88.1,0.0,3.0,16.72168655449568,16.6,0.0,100.0,100.0,0.0,4.0,0.525,0.667,0.0,0.0,321.0,0.0,0.0,0.0,0.15,20.0,0.0
09/06/2023 07:00,45175.291667,15.58,90.3,654.0,51.0,17.6,87.8,0.0,71.0,16.43031526680163,16.4,0.0,100.0,100.0,0.0,4.0,0.0,0.0,0.0,1.944444444444445e-06,696.0,0.0,0.0,0.0,0.15,20.0,0.08333333333333333
09/06/2023 07:59,45175.333333,15.76,89.6,975.0,174.0,19.2,82.5,0.0,241.0,17.405312084903297,17.8,0.0,100.0,100.0,0.8,4.8,0.0,0.0,0.0,9.374999999999999e-07,997.0,0.0,0.0,0.0,0.15,20.0,1.0
09/06/2023 09:00,45175.375,17.93,86.9,982.0,325.0,21.3,76.1,0.3,443.0,20.478280990093904,21.2,0.0,100.0,100.0,1.9,5.9,0.0,0.0,0.0,2.3958333333333334e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/06/2023 10:00,45175.416667,21.51,78.5,964.0,469.0,23.6,69.4,0.9,534.0,25.23444179324686,26.1,0.0,100.0,100.0,2.0,6.0,0.438,0.0,0.0,3.750000000000001e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/06/2023 10:59,45175.458333,25.12,65.6,927.0,588.0,25.4,63.5,1.4,579.0,29.698381775181655,30.6,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,1.9791666666666666e-06,1000.0,0.0,0.0,0.0,0.15,20.0,1.0
09/06/2023 12:00,45175.5,28.84,53.5,995.0,668.0,27.0,57.9,2.0,693.0,34.73625710627302,35.7,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,3.611111111111111e-06,1000.0,0.0,0.0,0.0,0.145,20.0,1.0
09/06/2023 13:00,45175.541667,31.33,47.1,944.0,701.0,27.8,56.0,2.8,750.0,39.55805160236221,40.4,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 13:59,45175.583333,32.82,43.4,874.0,686.0,28.4,51.6,3.0,732.0,43.047463794181425,43.6,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 15:00,45175.625,33.82,39.5,867.0,625.0,29.0,46.7,2.9,638.0,44.835621537290585,44.9,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 16:00,45175.666667,33.99,37.4,874.0,521.0,29.1,44.7,2.8,509.0,44.92220645794634,44.8,0.0,100.0,100.0,2.0,6.0,0.75,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 16:59,45175.708333,31.47,41.8,667.0,382.0,29.0,45.8,2.4,534.0,43.86104951669691,43.6,0.0,100.0,100.0,2.0,6.0,0.062,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 18:00,45175.75,29.47,45.7,555.0,229.0,28.4,47.4,2.7,333.0,41.198744057283385,40.5,0.0,100.0,100.0,1.5,5.5,0.0,0.0,7.716,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 19:00,45175.791667,27.91,49.9,569.0,88.0,27.2,51.1,2.4,115.0,37.10859079611576,36.3,0.0,100.0,100.0,0.3,4.3,0.0,0.0,0.0,4.166666666666668e-06,1000.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 19:59,45175.833333,25.94,55.7,715.0,11.0,25.6,56.3,1.0,14.0,32.6081419817507,31.8,0.0,100.0,100.0,0.0,4.0,0.0,0.067,0.0,3.750000000000001e-06,875.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 21:00,45175.875,24.48,61.8,719.0,0.0,23.7,64.3,0.1,0.0,28.97489186325775,28.4,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,6.944444444444449e-08,419.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 22:00,45175.916667,23.69,66.4,555.0,0.0,22.4,71.3,0.0,0.0,26.643995651826547,26.3,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,1.0
09/06/2023 22:59,45175.958333,22.62,71.9,477.0,0.0,21.9,74.1,0.0,0.0,24.876313448008933,24.6,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,1.0
09/07/2023 00:00,45176.0,21.63,76.4,445.0,0.0,20.9,77.7,0.1,0.0,23.441420969076713,23.2,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 01:00,45176.041667,20.87,79.4,431.0,0.0,20.1,80.8,0.3,0.0,22.2564781084013,22.1,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 01:59,45176.083333,20.15,81.9,425.0,0.0,19.3,83.3,0.4,0.0,21.283912656399902,21.1,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 03:00,45176.125,19.42,84.2,422.0,0.0,18.6,85.6,0.6,0.0,20.43148081101131,20.3,0.0,100.0,100.0,0.0,4.0,0.0,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 04:00,45176.166667,18.78,83.9,421.0,0.0,17.9,88.4,0.4,0.0,19.694521451350287,19.6,0.0,100.0,100.0,0.0,4.0,0.6,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 04:59,45176.208333,18.19,83.3,420.0,0.0,17.8,89.1,0.4,0.0,19.186075258994705,19.1,0.0,100.0,100.0,0.0,4.0,0.9,0.8,0.0,0.0,300.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 06:00,45176.25,17.45,85.4,420.0,5.0,17.6,88.6,0.1,3.0,18.6632305178933,18.6,0.0,100.0,100.0,0.0,4.0,0.525,0.667,0.0,0.0,321.0,0.0,0.0,0.0,0.097,20.0,0.0
09/07/2023 07:00,45176.291667,16.82,85.9,653.0,51.0,17.9,86.4,0.0,71.0,18.254033282523004,18.2,0.0,100.0,100.0,0.0,4.0,0.0,0.0,0.0,1.944444444444445e-06,696.0,0.0,0.0,0.0,0.097,20.0,0.08333333333333333
